mint,creator_address,price_usd,fdv_usd,liquidity_usd,volume_h24_usd,price_change_h24_pct,volume_to_liquidity_ratio,fdv_to_liquidity_ratio,liquidity_to_volume_ratio,creator_balance_pct,top_10_holders_pct,total_lp_locked_usd,has_mint_authority,has_freeze_authority,is_lp_locked_95_plus,token_supply,total_insider_networks,largest_insider_network_size,total_insider_token_amount,rugcheck_risk_level,pump_dump_risk_score,time_of_day_utc,day_of_week_utc,is_weekend_utc,is_public_holiday_any,signal_source,grade,token_age_at_signal_seconds,checked_at_timestamp,checked_at_utc,token_age_hours_at_signal,label_status,label_ath_roi,label_final_roi,label_hit_50_percent
13dURLFq94vT5nP8CmazQpka7HBDzaYwqioNnV25pump,47K4C8E4Q7oPNDgNJCQdz3QqwTdyP8NmmMU5Wm9sY9ma,6.024950818637219e-06,6027.0,7906.36,393959.18,-89.73,49.82813582988885,0.7622976945142897,0.020068982781414054,0.0,82.23534884045024,7903.177735269957,0,0,1,999986090614354.0,0.0,0.0,0.0,unknown,25.0,6,6,1,0,alpha,LOW,39624.0,1763274601,2025-11-16 06:30:01.445558+00:00,UNKNOWN,loss,0.0,-29.891543895532998,0
21dCU5jcTDTdqohD5XjXGxEibEm7QpjJe24FkBAPpump,4qCziXncWm69DC5jWT1xDtjXaDtobJiVX9kV4XTgQ7C1,4.598371064291335e-05,46208.0,21537.93,80967.99,-20.64,3.759320881811762,2.1454243745801014,0.26600549179990757,0.06711393112472538,50.077465622158655,21478.33866000182,0,0,1,999972139298145.0,0.0,0.0,0.0,unknown,15.0,6,6,1,0,alpha,LOW,5183.0,1763274601,2025-11-16 06:30:01.445568+00:00,UNKNOWN,win,76.99746032249183,,1
22bpMFQKeETcpEUid6wLLhjWJeGgqB8uQmub5A7ppump,DGxKVA9QBt3LFR2psUx6pL72T3K4Ej5YBvAz2rzasmio,3.2913779290290394e-05,0.0,19336.05523618513,0.0,0.0,0.0,0.0,0.0,0.0,50.692061965770236,19336.05523618513,0,0,1,999961856118835.0,1.0,5.0,92147053845645.0,unknown,15.0,22,3,0,0,alpha,LOW,0.0,1762466856,2025-11-06 22:07:36.739971+00:00,UNKNOWN,win,585.6014580801943,,1
291bNQx5yiwF2P3vgS3NAnLX8gcbMMPfKvrUUyndpump,8oixmEgGeYuYFNQqNV9Qoqg8KbMFdt9XH1JYZYeE5m8a,0.00019407695481124038,0.0,48260.72972906229,0.0,0.0,0.0,0.0,0.0,0.0,38.403631024661415,48260.72972906229,0,0,1,999999257405973.0,3.0,312.0,109999273330.0,unknown,38.0,6,0,0,0,alpha,LOW,0.0,1762755771,2025-11-10 06:22:51.457482+00:00,UNKNOWN,loss,24.513381995133805,-80.63868613138686,0
29cpTsUm3WqGwag6LPGpavggBX4S74LXm4yukFGs2yrD,9JvKyruFtHsJpsBnFDTx28MxK3hhoQtgJM2EvssXYo72,4.004719908159766e-05,0.0,22114.87334985624,0.0,0.0,0.0,0.0,0.0,0.0,55.265801745776216,22114.87334985624,0,0,1,999871744674464.0,0.0,0.0,0.0,unknown,15.0,21,4,0,0,alpha,LOW,0.0,1762552511,2025-11-07 21:55:11.241137+00:00,UNKNOWN,win,169.1919191919192,,1
2AFzzF7EKDygNJ2VthGWNSftCthpSkTmqSg9p8bFsend,FPfGD3kA8ZXWWMTZHLcFDMhVzyWhqstbgTpg1KoR7Vk4,5.262682678912387e-05,0.0,29803.67641960163,0.0,0.0,0.0,0.0,0.0,0.0,47.64895610842017,29803.67641960163,0,0,1,999769168727977.0,3.0,92.0,36435351025279.0,unknown,35.0,2,5,1,0,alpha,LOW,0.0,1762567251,2025-11-08 02:00:51.510644+00:00,UNKNOWN,loss,25.832223701731017,3.3470059452169796,0
2E64MaHNzsXiBt3e4hmBpqAC9yRXT7W7m5SG8w5bpump,9y2pdF5uFK6EKH4UWNp8jCd57ghKf1V1wjLgLGV1Wmjs,3.4828355800235024e-05,0.0,20233.085684796948,0.0,0.0,0.0,0.0,0.0,0.0,48.34876766516068,20233.085684796948,0,0,1,999999282593283.0,0.0,0.0,0.0,unknown,15.0,22,0,0,0,alpha,LOW,0.0,1762814498,2025-11-10 22:41:38.988787+00:00,UNKNOWN,loss,31.243634532100266,-87.33503233600757,0
2EMF6X23sbvgYsHFtS5tmrtUsmNcTgUEryaDmas5pump,AEABoYvmYhgrEZfgLtJEFMDHpnF12E7CMyHhmKWFZJZF,4.503430062721965e-05,0.0,23768.400083442335,0.0,0.0,0.0,0.0,0.0,0.0,46.05816245442419,23768.400083442335,0,0,1,999931744295129.0,1.0,5.0,47848888867662.0,unknown,15.0,4,1,0,1,alpha,LOW,0.0,1762836622,2025-11-11 04:50:22.518585+00:00,UNKNOWN,loss,10.412205567451815,-88.44218415417558,0
2Lq3M3Q6pmxq23paXWeKZgNskJ8rktHYHdjD5nKSpump,GH9yk8vgFvHnAD8JZqXxr3hBN1Lr1mJ9NPzrP5mVqiJe,0.0001636453969652114,0.0,43516.15339102673,0.0,0.0,0.0,0.0,0.0,0.0,28.682720277412415,43516.15339102673,0,0,1,999998823435867.0,0.0,0.0,0.0,unknown,8.0,15,5,1,0,alpha,LOW,0.0,1762616913,2025-11-08 15:48:33.081776+00:00,UNKNOWN,loss,3.1498613040025805,-93.11926873055054,0
2MMsR3Kqyr2t9xHfnLupSK6HBmH8Qo5Ta19hgNjJpump,9WPHA2BicW1Z4bLpNigyZjnwjDtp2E1f1msx7fwBtkUs,0.00015211709483091293,151823.0,40722.48,915444.42,160.0,22.48007537851329,3.7282356084403503,0.04448383660473893,0.0,31.94254460383698,41437.0122550863,0,0,1,999945626461172.0,1.0,5.0,89391519142495.0,unknown,8.0,8,5,1,0,alpha,LOW,13063.0,1763195308,2025-11-15 08:28:28.712251+00:00,UNKNOWN,loss,27.2536139615972,-75.64083997103548,0
